article_pmid	study_id	exposure_metric	outcome_primary	scale_family	summary_effect_label	pooling_eligibility	main_pool_flag	sensitivity_flag	source_round	source_location	notes
30590586	Baumert_2020_MrOS_CVDmort_ODI_perSD	ODI	CVD mortality	continuous_standardized	HR 1.1600 (0.9700-1.3800)	continuous_standardized_main	yes	no	round5	Table 2 multivariable analysis; PMC full text	Adjusted ODI was not independently associated with CVD mortality in this MrOS analysis; retain as useful negative comparator evidence within the ODI family.
38773880	Hui_2024_SHHS_CVDmort_ODI_L3vsL1	ODI	CVD mortality	categorical_high_vs_low	HR 1.0400 (0.7000-1.5600)	same_cohort_metric_comparison_sensitivity	no	yes	round2	Table 2 Model 1, CVD mortality, ODI L3 vs L1	Same SHHS mortality dataset family as other HB papers; retain for ODI head-to-head sensitivity rather than main pooled estimate.
40056262	Xu_2025_OSAACS_RCIR_LogODI_MACCE	ODI	MACCE	continuous_log	HR 1.8130 (1.0390-3.1630)	sensitivity_specialized_acs_subgroup	yes	no	round12	Abstract / Results in s11325-025-03281-8.pdf	Post hoc ACS subgroup analysis; relevant because ODI is explicitly modeled, but this is not a general OSA prognostic cohort.
39120771	Azakli_2024_clinicalOSA_allcause_ODI_per1unit	ODI	all-cause mortality	continuous_raw_unit	HR 1.0070 (1.0010-1.0130)	continuous_raw_unit_main	yes	no	round6	Table 5 model 2, ODI row, external PDF copy	This is currently a single clinical-cohort ODI all-cause mortality row with exact multivariable effect size, but it does not include AHI in the same model because the authors separated AHI and ODI models.
21724460	Johansson_2011_ElderlyCVD_ODI10_AllCause	ODI	all-cause mortality	categorical_high_vs_low	HR 3.0000 (1.1000-8.6000)	sensitivity_specialized_elderly_cvd	yes	no	round12	Abstract / Results in 1-s2.0-S1389945711001523-main.pdf	The overall elderly community cohort did not show a mortality association; the extracted effect is limited to the prespecified high-risk subgroup with cardiovascular disease and impaired systolic function.
39206667	Vichova_2025_SHHS_treatedDM_allcause_ODI_gt13.3	ODI	all-cause mortality	categorical_threshold	HR 1.5800 (1.1000-2.2500)	special_population_sensitivity	no	yes	round2	Table 3, ODI, all-cause mortality, Treated DM row	Nested treated-DM subgroup; subgroup size and event count were not reported in accessible full text.
11734445	Mooe_2001_CAD_ODI5_Cerebrovascular	ODI	cerebrovascular events	categorical_high_vs_low	HR 2.6200 (1.2600-5.4600)	sensitivity_specialized_cad	yes	no	round12	Table 3 / abstract in sleep-disordered-breathing-and-coronary-artery-disease.pdf	CAD cohort with hard cerebrovascular outcomes; the composite endpoint estimate was also reported but the adjusted cerebrovascular row is the clearest protocol-relevant estimate recoverable from the full text.
24342759	Ohmura_2014_ADHF_ODI4_SDB_Composite	ODI	composite readmission or mortality	categorical_high_vs_low	HR 2.9300 (1.3600-6.3100)	sensitivity_specialized_adhf	yes	no	round12	Table 2 / abstract in PIIS0002914913022662.pdf	Specialized acute heart-failure cohort; useful for the ODI hard-outcome evidence map but not protocol-concordant for the default OSA-centered main pool.
38773880	Hui_2024_SHHS_incidentCVD_ODI_L3vsL1	ODI	incident CVD	categorical_high_vs_low	HR 1.0700 (0.8300-1.3900)	same_cohort_metric_comparison_sensitivity	no	yes	round2	Table 2 Model 1, CVD morbidity, ODI L3 vs L1	Useful for ODI head-to-head comparison in SHHS; not a stand-alone primary anchor.
36642535	Onuki_2023_CIRCS_ODI5_IncidentCVD	ODI	incident CVD	categorical_high_vs_low	HR 1.4900 (1.0900-2.0300)	sensitivity_general_population_osa_surrogate	no	yes	round16	PubMed abstract for PMID 36642535	Community-based nocturnal intermittent hypoxia paper with extractable adjusted CVD-composite HR. Retain as general-population OSA-surrogate sensitivity evidence rather than as a core OSA cohort.
8889364	Mooe_1996_PostCABG_ODI5_PostopAF	ODI	post-CABG atrial fibrillation	categorical_high_vs_low	HR 2.8000 (1.2000-6.8000)	sensitivity_specialized_postcabg_af	no	yes	round14	PubMed abstract for PMID 8889364	Abstract-level extraction only. ODI-defined disordered breathing, not AHI, was the independent postoperative AF predictor in this specialized CABG cohort.
30590586	Baumert_2020_MrOS_CVDmort_T90_Q4gt12min	T90	CVD mortality	categorical_high_vs_low	HR 1.5900 (1.1400-2.2200)	categorical_high_vs_low_main	yes	no	round5	Table 2 multivariable analysis; PMC full text	Categorical T90 row uses the paper's highest-quartile threshold rather than a universal clinical cutoff, so it should be pooled only with clearly comparable categorical T90 studies.
30590586	Baumert_2020_MrOS_CVDmort_T90_perSD	T90	CVD mortality	continuous_standardized	HR 1.1600 (1.0500-1.2800)	continuous_standardized_main	yes	no	round5	Table 2 multivariable analysis; PMC full text	Directly fills the previously unextracted T90 and cardiovascular mortality gap with an AHI-adjusted MrOS row.
34648724	Trzepizur_2022_PaysLoire_MACE_logT90_M2	T90	MACE	continuous_log	HR 1.3400 (1.1600-1.5500)	continuous_log_main	yes	no	round4	Table 2 Model 2; user-supplied PDF	T90 remained significant in the fully adjusted clinical-cohort model and can serve as a main T90 anchor alongside the HB row from the same cohort.
31081538	Labarca_2019_T90_allcause_gt20pct	T90	all-cause mortality	categorical_threshold	HR 2.7000 (1.3700-5.2200)	sensitivity_unadjusted_threshold	no	yes	round2	Results paragraph and Table 1 in supplied PDF	Full text confirms an unadjusted threshold analysis with 8% mortality for T90 <=20% versus 18% for T90 >20%; no separate extractable nadir-SaO2 mortality estimate was reported.
26612581	Oldenburg_2016_HFREF_T90_h_AllCause	T90	all-cause mortality	continuous_fixed_increment_hour	HR 1.1610 (1.0860-1.2420)	sensitivity_specialized_hfref_mixedsdb	yes	no	round12	Table 3 / abstract in ehv624.pdf	This is a robust T90 mortality estimate, but the cohort is a heart-failure population with mixed obstructive and central SDB rather than a clinical OSA cohort.
39206667	Vichova_2025_SHHS_DM_allcause_T90_gt9.1	T90	all-cause mortality	categorical_threshold	HR 1.8600 (1.2700-2.7200)	special_population_sensitivity	no	yes	round2	Table 3, Time of SpO2 <90%, all-cause mortality, DM row	Diabetes subgroup only; cutoff was selected empirically within the cohort and should stay in sensitivity analyses.
34677657	Suzuki_2022_AFablation_T90gt20_Recurrence	T90	atrial tachyarrhythmia recurrence	categorical_high_vs_low	HR 8.5300 (1.8720-38.8140)	sensitivity_specialized_postablation_af	yes	no	round12	Abstract / Results in s00380-021-01969-x.pdf	Important AF-recurrence signal but highly specialized to post-ablation patients and restricted to the non-CPAP subgroup.
33433302	BrianconMarjollet_2021_multicenterOSA_incAF_T90_per1pct	T90	incident atrial fibrillation	continuous_raw_unit	HR 1.0100 (1.0000-1.0200)	continuous_raw_unit_main	yes	no	round6	Table 2 adjusted model, T90 continuous row, OUP web text	T90 was the only nocturnal hypoxemia index that remained independently associated with incident AF after multivariable adjustment.
33433302	BrianconMarjollet_2021_multicenterOSA_incAF_T90_q4	T90	incident atrial fibrillation	categorical_high_vs_low	HR 2.2000 (1.2300-3.9100)	categorical_high_vs_low_main	yes	no	round6	Table 2 adjusted model, T90 category row, OUP web text	The highest T90 quartile was associated with incident AF, while ODI, nadir oxygen saturation, and hypoxic burden category analyses were not independently significant after adjustment.
37947123	Heinzinger_2023_Cleveland_incAF_T90_per10	T90	incident atrial fibrillation	continuous_fixed_increment	HR 1.0600 (1.0400-1.0800)	continuous_standardized_main	yes	no	round3	Table 2; Figure 2B; Primary Analysis paragraph	Main hypoxia row for AF pooling from a large clinical cohort.
30243978	Kendzerska_2018_SuspectedOSA_T90gt30pct_IncidentHospAF	T90	incident hospitalized atrial fibrillation	categorical_high_vs_low	HR 1.7700 (1.1500-2.7400)	categorical_high_vs_low_main	yes	no	round13	Abstract / Results in j.chest.2018.08.1075.pdf	Clinical suspected-OSA cohort. Nocturnal hypoxemia remained significant after additional adjustment, whereas AHI did not. Keep distinct from existing AF cells because the endpoint is hospitalized AF and the threshold is >30% T90.
40056262	Xu_2025_OSAACS_RCIR_LogNadir_MACCE	nadir SpO2	MACCE	continuous_log	HR 0.0330 (0.0010-0.7690)	sensitivity_specialized_acs_subgroup	yes	no	round12	Abstract / Results in s11325-025-03281-8.pdf	Inverse nadir-SaO2 association is directionally coherent with worse hypoxaemia burden conferring higher risk; keep as specialized subgroup sensitivity.
37947123	Heinzinger_2023_Cleveland_incAF_minSpO2_per10decrease	nadir SpO2	incident atrial fibrillation	continuous_fixed_increment	HR 1.0900 (1.0300-1.1500)	continuous_standardized_main	yes	no	round3	Table 2; Figure 2C; Primary Analysis paragraph	In-scope nadir-SpO2 AF row from the same cohort.
29277336	RiveraLopez_2018_HF_nocturnalHypoxemia_PositivePulseOx_Composite	nocturnal hypoxemia	composite mortality or HF readmission	categorical_high_vs_low	HR 8.3700 (1.1900-68.4000)	sensitivity_specialized_hf_nocthypox	yes	no	round13	Abstract / Results in j.medcli.2017.11.024.pdf	Very small specialized heart-failure cohort. Useful for the sensitivity evidence map of nocturnal hypoxemia, but not protocol-concordant for the default adult-OSA main pool.
38773880	Hui_2024_SHHS_CVDmort_rHB_Q5vsQ1	rHB	CVD mortality	categorical_high_vs_low	HR 1.6300 (1.0500-2.5300)	same_cohort_metric_comparison_sensitivity	no	yes	round2	Table 2 Model 1, CVD mortality, rHB Q5 vs Q1	Same SHHS cohort as prior mortality studies; exposure is reconstructed HB and should be treated as same-cohort metric-comparison sensitivity.
38773880	Hui_2024_SHHS_incidentCVD_rHB_Q5vsQ1	rHB	incident CVD	categorical_high_vs_low	HR 1.2400 (0.9500-1.6200)	same_cohort_metric_comparison_sensitivity	no	yes	round2	Table 2 Model 1, CVD morbidity, rHB Q5 vs Q1	Unique SHHS non-fatal CVD composite for reconstructed HB, but still best treated as metric-comparison sensitivity.
35304425	Xu_2023_HongKongClinic_TST90_MACE_spline	T90	MACE	continuous_spline_contrast	HR 1.4100 (1.1000-1.8100)	continuous_spline_contrast_main	yes	no	round26_upgrade	Table 2 multivariable model; TST90 36.4 vs 0.7 min contrast in thoraxjnl-2021-217714.pdf	Strong T90/TST90 hard-composite signal from a modern Hong Kong sleep-clinic cohort, but the spline-derived contrast is not directly poolable with existing log-scale or threshold-based rows.
33394326	Labarca_2021_SantOSA_T90_CVmort_per1pct	T90	CVD mortality	continuous_raw_unit	HR 1.0200 (1.0100-1.0400)	continuous_raw_unit_main	yes	no	round26_upgrade	Results text in s11325-020-02283-y.pdf	Adjusted T90 cardiovascular-mortality signal in a SantOSA OSA-diabetes cohort, but the per-1% scale and phenotype framing do not match the existing community anchor closely enough for pooling.
20339144	Redline_2010_SHHSmen_T90_Stroke_tertile3	T90	incident ischemic stroke	categorical_threshold	HR 1.4600 (0.7100-2.9800)	categorical_high_vs_low_main	yes	no	round26_upgrade	Table 3, fully adjusted male model, time <90% O2 saturation III tertile in PMC2913239	Community-based male SHHS stroke row with a wide confidence interval; useful for thickening the cerebrovascular map, but not synthesis-ready because of thresholding and outcome-framing heterogeneity.
40132385	Wang_2025_SHHSOSA_HB_Q4_incAF	HB	incident atrial fibrillation	categorical_high_vs_low	OR 1.7000 (1.0400-2.8100)	sensitivity_overlap_shhs_or	no	yes	round26_upgrade	Results in 1-s2.0-S1389945725001339-main.pdf; HB Q4 vs Q1 incident AF	Overlap-prone SHHS reuse with OR-based AF modeling. Keep as sensitivity/comparator evidence rather than as a new primary AF anchor.
41733912	Bailly_2026_SASHB_ge80_postopComposite	SASHB	30-day postoperative cardiovascular events	categorical_threshold	OR 2.7900 (1.4200-5.4900)	sensitivity_specialized_perioperative	no	yes	round26_upgrade	Abstract and Results in bailly_2026_oi_260001_1772557663.82791.pdf	Large specialized perioperative cohort that thickens the translational SASHB evidence layer, but the 30-day postoperative composite is not directly comparable with chronic OSA prognostic cells.
27464791	Xie_2016_PostMI_minSaO2le85_MACE	nadir SpO2	MACE	categorical_threshold	HR 6.0500 (1.7900-20.4600)	sensitivity_specialized_postmi	no	yes	round26_upgrade	Table 3, minSaO2 model 1, >=15 months, PMC5015271	Recent-post-MI cohort with a strong nadir oxygen saturation signal, but the cardiac-population framing and landmarked analysis keep it in the specialized sensitivity layer.
27464791	Xie_2016_PostMI_T90SaO2ge1p3_MACE	T90	MACE	categorical_threshold	HR 1.2500 (0.5000-3.1600)	sensitivity_specialized_postmi	no	yes	round26_upgrade	Table 3, T90SaO2 model, PMC5015271	Null specialized post-MI T90 threshold row that is useful as a comparator signal but not a general OSA prognostic anchor.
37656346	HenriquezBeltran_2024_SHHS_T90_pSD_AllCause	T90	all-cause mortality	continuous_standardized	HR 1.1800 (1.1000-1.2600)	single_publication_dualcohort_main	yes	no	round26_upgrade	Abstract and Table 2 in s11325-023-02909-x.pdf	Dual-cohort T90 all-cause-mortality paper rescued during the final strict-review pass; the SHHS community-physiology row thickens the mortality map but was retained outside the four-cell pooled core because it would only create another single-publication dual-cohort cell.
37656346	HenriquezBeltran_2024_SantOSA_T90_pSD_AllCause	T90	all-cause mortality	continuous_standardized	HR 1.3400 (1.0400-1.7100)	single_publication_dualcohort_main	yes	no	round26_upgrade	Abstract and Table 2 in s11325-023-02909-x.pdf	More protocol-concordant clinical-cohort companion row from the same dual-cohort T90 all-cause-mortality paper; retained outside the four-cell pooled core because it still represents a single publication rather than independent replication.
