article_pmid	citation_key	review_role	design	cohorts	country	metric_families	outcome_families	population_summary	analytic_n_summary	follow_up_summary	sleep_study_type_summary	extracted_rows_n	main_pool_rows_n	sensitivity_rows_n	overall_judgment	overall_reason
40008168	Mazzotti_2025_ERJOR	primary_overlap_sensitive	prospective cohort secondary analysis	SHHS free-of-baseline-CVD subset	USA	HB	CVD mortality; MACE	community-based adults with symptom data and high-quality oxygen signals, free of baseline CVD	3714; 3698	11.7 median; 11.4 median	home-based PSG	4	2	2	moderate	Methodologically solid, but the analytic subset, overlap with prior SHHS publications, and dependence on alternate model structures warrant moderate caution.
40056262	Xu_2025_SleepBreath	primary_single_study_cell	prospective cohort subgroup analysis	OSA-ACS RCIR subgroup	China	ODI; nadir SpO2	MACCE	acute coronary syndrome patients with dual remnant-cholesterol and low-grade-inflammation risk		2.9 median	sleep study in hospitalized ACS cohort	2	2	0	moderate	Modern subgroup analysis with relevant clinical outcome, but post hoc RCIR subgrouping and ACS-specific selection limit direct OSA prognostic generalizability.
40818776	Peker_2025_RICCADSA_Abstract	specialized_sensitivity_abstract_only	secondary analysis of observational cohort	RICCADSA observational CAD + OSA cohort	Sweden	HB	MACCE	adults with moderate-to-severe OSA and coronary artery disease	368	4.7 median	sleep study in coronary artery disease cohort	1	0	1	moderate	Clinically important coronary-disease OSA cohort with a positive HB-MACCE signal, but abstract-only extraction and secondary-prevention framing limit direct comparability to the core prognostic pool.
35304425	Xu_2023_Thorax	primary_single_study_cell	prospective sleep clinic cohort	Hong Kong sleep clinic cohort	China	T90	MACE	adults referred for polysomnography in a Hong Kong sleep clinic	1860	8.3 median	in-laboratory polysomnography linked with territory-wide administrative outcomes	1	1	0	moderate	Large modern sleep-clinic cohort with hard cardiovascular outcomes and AHI-aware modeling, but single-center clinic sampling and spline-only effect presentation limit direct comparability.
33394326	Labarca_2021_SantOSA	primary_single_study_cell	prospective cohort	SantOSA OSA-diabetes cohort	Chile	T90	CVD mortality	adults referred for sleep study with moderate-to-severe OSA and diabetes-comorbidity framing	1447	5 mean	diagnostic sleep-study referral cohort	1	1	0	moderate	Clinically relevant prospective cohort with an adjusted T90 cardiovascular-mortality signal, but diabetes-enriched phenotype framing and limited reporting detail keep overall certainty moderate.
40132385	Wang_2025_SleepMed	sensitivity_overlap_prone_shhs	prospective cohort secondary analysis	SHHS OSA without baseline AF cohort	USA	HB; SBII	incident atrial fibrillation	SHHS participants with OSA and no baseline atrial fibrillation	1660	5.3 mean	home polysomnography in the Sleep Heart Health Study	1	0	1	moderate	Useful incident-AF analysis in a large SHHS-derived OSA cohort, but overlap-prone cohort reuse and OR-based modeling reduce comparability to the primary pooled architecture.
41733912	Bailly_2026_JAMANetworkOpen	specialized_sensitivity_perioperative	multicenter clinic-based cohort	French major noncardiothoracic surgery cohort	France	SASHB	30-day postoperative cardiovascular events	adults with OSA undergoing major noncardiothoracic surgery	2286	0.08	preoperative diagnostic sleep study linked to administrative surgical outcomes	1	0	1	moderate	Large perioperative translational cohort with relevant hard outcomes, but surgical timing and postoperative-composite framing limit general chronic-OSA prognostic transportability.
27464791	Xie_2016_JAHA	specialized_sensitivity_postmi	prospective cohort	recent myocardial infarction cohort	USA	nadir SpO2; T90	MACE	adults with recent myocardial infarction undergoing full-night polysomnography after the index event	98	4 total	full-night polysomnography after recent myocardial infarction	2	0	2	high	Small specialized post-MI cohort with landmarked outcome modeling and limited event support; strong signal for nadir oxygen saturation is clinically interesting but highly context-dependent.
20339144	Redline_2010_AJRCCM	primary_single_study_cell	prospective community cohort	SHHS male community model	USA	T90	incident ischemic stroke	community-dwelling men in the Sleep Heart Health Study	2462	8.7 median	unattended home polysomnography	1	1	0	moderate	Important community-based stroke analysis with longitudinal follow-up, but older modeling conventions, sex-restricted inference, and wide confidence intervals warrant moderate caution.
37656346	HenriquezBeltran_2024_SleepBreath	primary_single_study_cell	prospective dual-cohort secondary analysis	SHHS community cohort; SantOSA clinical cohort	USA; Chile	T90	all-cause mortality	community SHHS adults and clinical SantOSA adults with complete baseline and follow-up data	4323; 1345	11.7 median; 5.0 median	unattended home polysomnography; diagnostic sleep-study referral cohort	2	2	0	moderate	Dual-cohort T90 mortality paper with adjusted models in both a community SHHS cohort and a clinical SantOSA cohort, but single-publication dual-cohort structure and mixed population framing limit direct comparability.
