article_pmid	citation_key	review_role	cohorts	design	main_metric_family	main_outcomes	study_participation	study_attrition	prognostic_factor_measurement	outcome_measurement	confounding	statistical_analysis_reporting	overall_judgment	overall_reason	domain_notes
33433302	Blanchard_2021_AnnalsATS	primary_single_study_cell	multicenter OSA-referred cohort	retrospective multicenter clinical cohort	T90	incident atrial fibrillation	moderate	low	moderate	moderate	moderate	moderate	moderate	Large multicenter OSA-referred cohort with adjusted time-to-event models and clinically relevant AF outcomes, but referral-based sampling, mixed diagnostic sleep-study modalities, and retrospective linkage design introduce moderate bias risk.	This paper materially strengthens the T90-AF evidence stream, but scale heterogeneity versus other AF cohorts still limits immediate pooling.
34648724	Trzepizur_2022_AJRCCM	primary_held_composite_heterogeneity	Pays de la Loire clinical cohort	prospective clinical cohort	HB; T90	MACE; all-cause mortality	moderate	low	moderate	moderate	moderate	moderate	moderate	Good clinical cohort with adjusted time-to-event models, but mixed PSG/HSAT acquisition and composite endpoint definition complicate direct synthesis.	Important anchor for clinical OSA, especially for MACE/T90, but best interpreted with endpoint-heterogeneity caution.
34677657	Suzuki_2022_HeartVessels	primary_single_study_cell	AF catheter ablation cohort	retrospective cohort	T90	atrial tachyarrhythmia recurrence	high	moderate	moderate	moderate	high	moderate	high	Highly specialized post-ablation subgroup analysis with non-CPAP restriction and limited event count, yielding high susceptibility to selection and residual confounding.	Keep as AF-procedure sensitivity only.
35131555	Chung_2022_JClinAnesth	primary_single_study_cell	POSA perioperative cohort	post hoc prospective cohort	ODI	30-day postoperative cardiovascular events	moderate	low	moderate	moderate	moderate	moderate	moderate	Large perioperative cohort with relevant hard outcomes, but it represents an unrecognized-OSA surgical setting rather than chronic OSA prognosis and the text-layer covariate detail is incomplete.	Useful ODI perioperative sensitivity evidence.
36642535	Onuki_2023_CIRCS_Abstract	specialized_sensitivity_abstract_only	CIRCS Japanese community cohort	prospective community cohort	ODI / nocturnal intermittent hypoxia	incident composite cardiovascular disease	moderate	moderate	moderate	low	moderate	moderate	moderate	Large community cohort with incident cardiovascular outcomes and adjusted Cox models, but abstract-only extraction and OSA-surrogate framing limit certainty.	Useful ODI-like community sensitivity evidence, but not a clean protocol-core clinical OSA cohort.
37418748	Labarca_2023_AJRCCM	primary_main_plus_single_study_cells	MESA; MrOS	prospective cohort secondary analysis	HB	incident CVD; all-cause mortality; CVD mortality	low	low	low	low	moderate	moderate	moderate	Outcomes and HB measurement are strong, but the final models emphasize comparative physiological burdens and do not uniformly adjust for other OSA severity measures such as AHI.	Some outcome-specific event counts were not reported in the accessible text, and burden-comparison framing introduces moderate confounding complexity.
37947123	Heinzinger_2023_JAHA	primary_single_study_cell	Cleveland Clinic sleep-study cohort	retrospective clinical cohort	T90; nadir SpO2	incident atrial fibrillation	moderate	low	moderate	moderate	moderate	moderate	moderate	Large and clinically relevant cohort, but referral-based selection and outcome ascertainment through administrative/electronic records introduce moderate bias risk.	Strong signal for AF, but not yet replicated across an independent cohort in the current review.
38773880	Hui_2024_Respirology	sensitivity_metric_comparison	SHHS	prospective cohort secondary analysis	ODI; rHB	CVD mortality; incident CVD	low	low	moderate	low	moderate	moderate	moderate	Useful comparative paper, but reconstructed HB and same-cohort metric comparison increase measurement and interpretation uncertainty.	This paper is retained as same-cohort sensitivity evidence rather than an independent primary anchor.
39120771	Azakli_2024_SleepBreath	primary_single_study_cell	single-centre referral clinical OSA cohort	retrospective clinical cohort	ODI	all-cause mortality	moderate	moderate	low	moderate	moderate	moderate	moderate	Large clinical OSA cohort with polysomnography-derived ODI and multivariable mortality models, but retrospective single-centre referral sampling, electronic-record outcome ascertainment, and non-AHI-adjusted collinearity handling warrant moderate caution.	Useful single-cohort ODI mortality anchor in a clearly OSA-framed clinical population, but still not a replication-grade mortality evidence stream on its own.
39206667	Vichova_2025_JCSM	sensitivity_subgroup_only	SHHS diabetes subgroup	prospective subgroup cohort analysis	T90; ODI	all-cause mortality	moderate	low	moderate	low	moderate	high	high	Post hoc subgrouping with empirically selected cutoffs and incomplete subgroup-size reporting limits credibility despite adjusted mortality models.	This is kept only for subgroup/sensitivity interpretation.
40008168	Mazzotti_2025_ERJOR	primary_overlap_sensitive	SHHS free-of-baseline-CVD subset	prospective cohort secondary analysis	HB	CVD mortality; MACE	moderate	low	low	low	moderate	moderate	moderate	Methodologically solid, but the analytic subset, overlap with prior SHHS publications, and dependence on alternate model structures warrant moderate caution.	Used mainly for overlap-sensitive and model-sensitive interpretation rather than default primary pooling.
40056262	Xu_2025_SleepBreath	primary_single_study_cell	OSA-ACS RCIR subgroup	prospective cohort subgroup analysis	ODI; nadir SpO2	MACCE	moderate	low	moderate	moderate	moderate	moderate	moderate	Modern subgroup analysis with relevant clinical outcome, but post hoc RCIR subgrouping and ACS-specific selection limit direct OSA prognostic generalizability.	Keep in the specialized ACS sensitivity layer.
40818776	Peker_2025_RICCADSA_Abstract	specialized_sensitivity_abstract_only	RICCADSA observational CAD + OSA cohort	secondary analysis of observational cohort	HB	MACCE	moderate	moderate	low	moderate	moderate	moderate	moderate	Clinically important coronary-disease OSA cohort with a positive HB-MACCE signal, but abstract-only extraction and secondary-prevention framing limit direct comparability to the core prognostic pool.	Retained as specialized HB-MACCE sensitivity/comparator evidence.
35304425	Xu_2023_Thorax	primary_single_study_cell	Hong Kong sleep clinic cohort	prospective sleep clinic cohort	T90	MACE	moderate	low	moderate	moderate	moderate	moderate	moderate	Large modern sleep-clinic cohort with hard cardiovascular outcomes and AHI-aware modeling, but single-center clinic sampling and spline-only effect presentation limit direct comparability.	Retained as a primary single-study T90/TST90 hard-composite anchor.
33394326	Labarca_2021_SantOSA	primary_single_study_cell	SantOSA OSA-diabetes cohort	prospective cohort	T90	CVD mortality	moderate	moderate	moderate	moderate	moderate	moderate	moderate	Clinically relevant prospective cohort with an adjusted T90 cardiovascular-mortality signal, but diabetes-enriched phenotype framing and limited reporting detail keep overall certainty moderate.	Retained as a primary single-study T90 cardiovascular-mortality anchor.
20339144	Redline_2010_AJRCCM	primary_single_study_cell	SHHS male community model	prospective community cohort	T90	incident ischemic stroke	moderate	low	moderate	moderate	moderate	moderate	moderate	Important community-based stroke analysis with longitudinal follow-up, but older modeling conventions, sex-restricted inference, and wide confidence intervals warrant moderate caution.	Retained as a primary single-study cerebrovascular anchor.
40132385	Wang_2025_SleepMed	sensitivity_overlap_prone_shhs	SHHS OSA without baseline AF cohort	prospective cohort secondary analysis	HB; SBII	incident atrial fibrillation	moderate	moderate	moderate	moderate	moderate	moderate	moderate	Useful incident-AF analysis in a large SHHS-derived OSA cohort, but overlap-prone cohort reuse and OR-based modeling reduce comparability to the primary pooled architecture.	Retained as overlap-prone HB AF sensitivity/comparator evidence.
41733912	Bailly_2026_JAMANetworkOpen	specialized_sensitivity_perioperative	French major noncardiothoracic surgery cohort	multicenter clinic-based cohort	SASHB	30-day postoperative cardiovascular events	moderate	low	moderate	moderate	moderate	moderate	moderate	Large perioperative translational cohort with relevant hard outcomes, but surgical timing and postoperative-composite framing limit general chronic-OSA prognostic transportability.	Retained as specialized perioperative SASHB sensitivity/comparator evidence.
27464791	Xie_2016_JAHA	specialized_sensitivity_postmi	recent myocardial infarction cohort	prospective cohort	nadir SpO2; T90	MACE	high	moderate	moderate	moderate	high	moderate	high	Small specialized post-MI cohort with landmarked outcome modeling and limited event support; strong signal for nadir oxygen saturation is clinically interesting but highly context-dependent.	Retained as specialized post-MI sensitivity/comparator evidence.
37656346	HenriquezBeltran_2024_SleepBreath	primary_single_study_cell	SHHS community cohort; SantOSA clinical cohort	prospective dual-cohort secondary analysis	T90	all-cause mortality	moderate	moderate	moderate	moderate	moderate	moderate	moderate	Dual-cohort T90 mortality paper with adjusted models in both a community SHHS cohort and a clinical SantOSA cohort, but single-publication dual-cohort structure and mixed population framing limit direct comparability.	Retained as a primary non-pooled T90 all-cause-mortality anchor rescued during the final strict-review pass.
