screen_id	source_database	query_family	pubmed_id	title	first_author	pub_year	journal	title_abstract_decision	exclusion_code	metric_signal	outcome_signal	population_signal	notes
PUBMED_MAIN_027	PubMed	main_tiab_beyond_ahi_hard_outcomes	39471830	Assessing the Pathophysiology, Morbidity, and Mortality of Obstructive Sleep Apnea.	Richie RC	2024	Journal of insurance medicine (New York, N.Y.)	exclude	E7	none	general morbidity and mortality	adult OSA	Review-style article, not original study.
PUBMED_MAIN_028	PubMed	main_tiab_beyond_ahi_hard_outcomes	31503213	Sleep and interstitial lung disease.	Myall KJ	2019	Current opinion in pulmonary medicine	exclude	E7	none	ILD outcomes review	ILD with sleep disorders	Review article.
PUBMED_MAIN_029	PubMed	main_tiab_beyond_ahi_hard_outcomes	17147000	Sleep in COPD patients.	Bhullar S	2005	COPD	exclude	E7	none	COPD/overlap review	COPD overlap	Review article.
PUBMED_MAIN_030	PubMed	main_tiab_beyond_ahi_hard_outcomes	41751879	Sleep-Disordered Breathing in Chung-Jansen Syndrome.	Vlami K	2026	International journal of molecular sciences	exclude	E1	lowest oxygen saturation only	case description	rare genetic syndrome	Case report / syndromic single patient, not target adult OSA prognostic study.
PUBMED_MAIN_031	PubMed	main_tiab_beyond_ahi_hard_outcomes	36521320	Duration of respiratory events in obstructive sleep apnea: In search of paradoxical results.	Oksenberg A	2023	Sleep medicine reviews	exclude	E7	none	event duration review	adult OSA	Review article.
PUBMED_MAIN_032	PubMed	main_tiab_beyond_ahi_hard_outcomes	39868516	Association of Obstructive Sleep Apnea and Nocturnal Hypoxemia With the Circadian Rhythm of Myocardial Infarction.	Liu X	2025	Journal of the American Heart Association	exclude	E3	nocturnal hypoxemia	timing of MI onset	MI patients with OSA study	Hard cardiovascular disease context but not a prognostic hard-outcome association of the target type.
PUBMED_MAIN_033	PubMed	main_tiab_beyond_ahi_hard_outcomes	37947123	Sleep-Disordered Breathing, Hypoxia, and Pulmonary Physiologic Influences in Atrial Fibrillation.	Heinzinger CM	2023	Journal of the American Heart Association	include		T90 / minimum and mean oxygen saturation	incident atrial fibrillation	clinical sleep-study cohort	Original retrospective cohort with incident AF and explicit sleep-related hypoxia metrics.
PUBMED_MAIN_034	PubMed	main_tiab_beyond_ahi_hard_outcomes	34184854	Cardiovascular manifestations in obstructive sleep apnea: current evidence and potential mechanisms.	O'Donnell C	2021	Polish archives of internal medicine	exclude	E7	none	cardiovascular manifestations review	adult OSA	Review article.
PUBMED_MAIN_034	PubMed	main_tiab_beyond_ahi_hard_outcomes	40294210	Nocturnal hypoxaemic burden is associated with incident major adverse cardiovascular events in patients with type 2 diabetes.	Driendl	2025	European journal of preventive cardiology	exclude	E1	T90 / nocturnal hypoxaemic burden	incident MACE	type 2 diabetes cohort	Hard outcomes and metric are relevant, but the analytic population is a diabetes cohort rather than an adult OSA/SDB sleep-study cohort.
PUBMED_MAIN_035	PubMed	main_tiab_beyond_ahi_hard_outcomes	37794711	Hypoxaemic burden in heart failure patients receiving adaptive servo-ventilation.	Baumert M	2023	ESC heart failure	exclude	E3	hypoxaemic burden / T90 components	short-term physiologic response	heart failure ASV trial	Interventional physiologic endpoint study, not hard clinical-outcome prognostic paper.
PUBMED_MAIN_036	PubMed	main_tiab_beyond_ahi_hard_outcomes	31081538	Do T90 and SaO2 nadir identify a different phenotype in obstructive sleep apnea?	Labarca G	2019	Sleep & breathing = Schlaf & Atmung	include		T90 and SaO2 nadir	comorbidities and mortality	moderate-to-severe OSA cohort	Original oxygenation-phenotype study with mortality signal; needs full-text confirmation for extractable effect estimates.
PUBMED_MAIN_037	PubMed	main_tiab_beyond_ahi_hard_outcomes	26362450	Screening for Sleep-Disordered Breathing in Patients Hospitalized for Heart Failure.	Oldenburg O	2015	JACC. Heart failure	exclude	E2	none	screening	heart failure inpatients	Screening paper, not target prognostic exposure-outcome study.
PUBMED_MAIN_038	PubMed	main_tiab_beyond_ahi_hard_outcomes	40887593	Nocturnal hypoxemic burden is associated with worsening prognosis of chronic kidney disease in patients with type 2 diabetes.	Driendl S	2025	Cardiovascular diabetology	exclude	E1	T90 / nocturnal hypoxemic burden	CKD prognosis	type 2 diabetes CKD cohort	Not an adult OSA cohort; nocturnal hypoxemia present but target population is wrong.
PUBMED_MAIN_039	PubMed	main_tiab_beyond_ahi_hard_outcomes	40132385	Sleep breathing impairment index predicts incident atrial fibrillation in obstructive sleep apnea: A prospective cohort study.	Wang L	2025	Sleep medicine	exclude	E2	SBII	incident atrial fibrillation	OSA cohort	Novel composite metric outside current prespecified exposure family.
PUBMED_MAIN_040	PubMed	main_tiab_beyond_ahi_hard_outcomes	20875160	Sleep-disordered breathing and COPD: the overlap syndrome.	Owens RL	2010	Respiratory care	exclude	E7	none	overlap review	COPD-OSA overlap	Review article on overlap syndrome.
PUBMED_MAIN_041	PubMed	main_tiab_beyond_ahi_hard_outcomes	28439921	Impact of obstructive sleep apnoea and intermittent hypoxia on cardiovascular and cerebrovascular regulation.	Beaudin AE	2017	Experimental physiology	exclude	E7	none	vascular regulation review	adult OSA	Review article.
PUBMED_MAIN_042	PubMed	main_tiab_beyond_ahi_hard_outcomes	40498397	Sex Differences in Atherosclerotic Cardiovascular Disease Risk in Obstructive Sleep Apnea.	Bock JM	2025	Current atherosclerosis reports	exclude	E7	none	ASCVD sex-difference review	adult OSA	Review article.
PUBMED_MAIN_043	PubMed	main_tiab_beyond_ahi_hard_outcomes	40281320	Clinical characteristics and outcomes of positional obstructive sleep apnea: the sleep heart health study.	Chen LD	2025	European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery	exclude	E2	none	POSA outcomes	OSA cohort	Original outcomes paper but wrong exposure family.
PUBMED_MAIN_044	PubMed	main_tiab_beyond_ahi_hard_outcomes	2184999	Cardiovascular effects of sleep disorders.	Parish JM	1990	Chest	exclude	E7	none	cardiovascular effects review	sleep disorders general	Review article.
PUBMED_MAIN_045	PubMed	main_tiab_beyond_ahi_hard_outcomes	40081280	A high arousal threshold is associated with nocturnal gastroesophageal reflux in obstructive sleep apnea.	Feng Z	2025	Sleep medicine	exclude	E3	arousal threshold	nocturnal GERD	OSA cohort	Wrong outcome; not a hard cardiovascular or mortality endpoint.
PUBMED_MAIN_046	PubMed	main_tiab_beyond_ahi_hard_outcomes	25700872	Sleep disorders in chronic obstructive pulmonary disease: etiology, impact, and management.	Budhiraja R	2015	Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine	exclude	E7	none	COPD sleep-disorders review	COPD	Review article.
PUBMED_MAIN_047	PubMed	main_tiab_beyond_ahi_hard_outcomes	38947016	Prevalence and Detection of Obstructive Sleep Apnea Early after Stroke.	Klingman KJ	2024	medRxiv : the preprint server for health sciences	exclude	E3	none	post-stroke OSA prevalence/detection	stroke cohort	Cross-sectional screening/prevalence study, not target prognostic paper.
PUBMED_MAIN_048	PubMed	main_tiab_beyond_ahi_hard_outcomes	35144521	Sleep-disordered Breathing in Pregnancy and after Delivery: Associations with Cardiometabolic Health.	Facco FL	2022	American journal of respiratory and critical care medicine	exclude	E2	none	HTN / metabolic syndrome	pregnancy SDB cohort	Wrong exposure family for the current review.
PUBMED_MAIN_049	PubMed	main_tiab_beyond_ahi_hard_outcomes	34518455	Investigating the Association between Wake-Up Stroke and Obstructive Sleep Apnea: A Meta-Analysis.	Lu X	2022	European neurology	exclude	E7	none	wake-up stroke meta	stroke population	Meta-analysis, not original study.
PUBMED_MAIN_050	PubMed	main_tiab_beyond_ahi_hard_outcomes	25398715	Chemoreflex physiology and implications for sleep apnoea: insights from studies in humans.	Mansukhani MP	2015	Experimental physiology	exclude	E7	none	chemoreflex review	sleep apnoea general	Review article.
PUBMED_MAIN_051	PubMed	main_tiab_beyond_ahi_hard_outcomes	34347565	Association of Sleep-disordered Breathing and Blood Pressure with Albuminuria: The Nagahama Study.	Murase K	2022	Annals of the American Thoracic Society	exclude	E3	none	albuminuria	general population SDB	Surrogate renal outcome, not a hard target outcome.
PUBMED_MAIN_052	PubMed	main_tiab_beyond_ahi_hard_outcomes	40921000	Comorbid Insomnia and Sleep Apnea Is Associated with Uncontrolled Hypertension in a Middle-aged Population.	Kobayashi Frisk M	2026	Annals of the American Thoracic Society	exclude	E3	none	uncontrolled hypertension	COMISA middle-aged population	Cross-sectional/surrogate cardiometabolic outcome.
PUBMED_MAIN_053	PubMed	main_tiab_beyond_ahi_hard_outcomes	38386021	DAHOS Study: Efficacy of dapagliflozin in treating heart failure with reduced ejection fraction and obstructive sleep apnea syndrome - A 3-month, multicenter, randomized controlled clinical trial.	Xie L	2024	European journal of clinical pharmacology	exclude	E3	none	HFrEF treatment efficacy	HFrEF plus OSA	Interventional trial, not prognostic metric paper.
PUBMED_MAIN_054	PubMed	main_tiab_beyond_ahi_hard_outcomes	39688783	Screening moderate to severe obstructive sleep apnea with wearable device.	Tisyakorn J	2024	Sleep & breathing = Schlaf & Atmung	exclude	E3	ODI / wearable oximetry	screening moderate-severe OSA	suspected OSA adults	Diagnostic screening study, not target prognostic paper.
PUBMED_MAIN_055	PubMed	main_tiab_beyond_ahi_hard_outcomes	36849673	Contribution of central sleep apnea to severe sleep apnea hypopnea syndrome.	Zhang G	2023	Sleep & breathing = Schlaf & Atmung	exclude	E1	none	CSA contribution	severe SAHS mixed OSA/CSA	Wrong population focus because CSA component is central to the question.
PUBMED_MAIN_056	PubMed	main_tiab_beyond_ahi_hard_outcomes	36400540	The Cardiopulmonary Complications of Sickle Cell Disease.	Desai AA	2022	Hematology/oncology clinics of North America	exclude	E7	none	sickle cell review	sickle cell disease	Review article outside target population.
PUBMED_MAIN_057	PubMed	main_tiab_beyond_ahi_hard_outcomes	40332117	Increased Myocardial MARK4 Expression in Patients with Heart Failure and Sleep-Disordered Breathing.	Seydel B	2025	International journal of molecular sciences	exclude	E3	none	MARK4 expression in HF and SDB	heart failure with SDB	Mechanistic biomarker paper, not hard-outcome prognostic analysis.
PUBMED_MAIN_058	PubMed	main_tiab_beyond_ahi_hard_outcomes	38589224	Machine learning-based detection of sleep-disordered breathing in hypertrophic cardiomyopathy.	Akita K	2024	Heart (British Cardiac Society)	exclude	E3	ODI/ML detection	SDB detection in HCM	HCM cohort	Diagnostic detection paper.
PUBMED_MAIN_059	PubMed	main_tiab_beyond_ahi_hard_outcomes	32298733	The Sleep Apnea-Specific Hypoxic Burden Predicts Incident Heart Failure.	Azarbarzin A	2020	Chest	include		HB	incident heart failure	community / older-adult cohorts	Core original prognostic HB study with hard outcome.
PUBMED_MAIN_060	PubMed	main_tiab_beyond_ahi_hard_outcomes	24158564	Diagnosis of obstructive sleep apnea by peripheral arterial tonometry: meta-analysis.	Yalamanchali S	2013	JAMA otolaryngology-- head & neck surgery	exclude	E7	none	diagnosis meta-analysis	adult OSA diagnosis	Meta-analysis of diagnostic device, not original prognostic study.
PUBMED_MAIN_061	PubMed	main_tiab_beyond_ahi_hard_outcomes	29222290	Chronic organ failure in adult sickle cell disease.	Vichinsky E	2017	Hematology. American Society of Hematology. Education Program	exclude	E7	none	chronic organ failure review	sickle cell disease	Review article outside target population.
PUBMED_MAIN_062	PubMed	main_tiab_beyond_ahi_hard_outcomes	37531573	Hypoxic Burden Based on Automatically Identified Desaturations Is Associated with Adverse Health Outcomes.	Esmaeili N	2023	Annals of the American Thoracic Society	include		HB based on auto-desaturations	adverse health outcomes / CVD mortality context	older-adult and community cohorts	Original HB method-validation paper tied to adverse health outcomes; retain for full-text confirmation.
PUBMED_MAIN_063	PubMed	main_tiab_beyond_ahi_hard_outcomes	25376169	Sleep-disordered breathing and functional decline in older women.	Spira AP	2014	Journal of the American Geriatrics Society	exclude	E3	none	functional decline	older women with SDB	Functional decline is outside primary hard-outcome scope.
PUBMED_MAIN_064	PubMed	main_tiab_beyond_ahi_hard_outcomes	36939400	Homocysteine Levels in Severe OSA Patients Before and After TORS-OSA Surgery.	Chiu LW	2023	Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery	exclude	E3	none	homocysteine before/after surgery	severe OSA surgical cohort	Biomarker surrogate outcome.
PUBMED_MAIN_065	PubMed	main_tiab_beyond_ahi_hard_outcomes	32645005	Clinical presentation and comorbidities of obstructive sleep apnea-COPD overlap syndrome.	Adler D	2020	PloS one	exclude	E1	none	overlap comorbidities	OSA-COPD overlap registry	Wrong population focus; overlap syndrome.
PUBMED_MAIN_066	PubMed	main_tiab_beyond_ahi_hard_outcomes	36042066	Independent association between hypoxemia and night sweats in obstructive sleep apnea.	Nigro CA	2023	Sleep & breathing = Schlaf & Atmung	exclude	E3	hypoxemia	night sweats	adult PSG cohort	Symptom outcome, not hard cardiovascular or mortality endpoint.
PUBMED_MAIN_067	PubMed	main_tiab_beyond_ahi_hard_outcomes	29769049	Sleep-disordered breathing in patients with newly diagnosed lung cancer.	Dreher M	2018	BMC pulmonary medicine	exclude	E1	none	lung cancer prevalence	newly diagnosed lung cancer	Wrong population focus.
PUBMED_MAIN_068	PubMed	main_tiab_beyond_ahi_hard_outcomes	16855960	Continuous positive airways pressure for obstructive sleep apnoea in adults.	Giles TL	2006	The Cochrane database of systematic reviews	exclude	E7	none	CPAP review	adult OSA	Systematic review.
PUBMED_MAIN_069	PubMed	main_tiab_beyond_ahi_hard_outcomes	16437429	Continuous positive airways pressure for obstructive sleep apnoea in adults.	Giles TL	2006	The Cochrane database of systematic reviews	exclude	E7	none	CPAP review	adult OSA	Cochrane review duplicate article type, not original study.
PUBMED_MAIN_070	PubMed	main_tiab_beyond_ahi_hard_outcomes	35617717	Impact of moderate-to-severe obstructive sleep apnea on aggressive clinicopathological features of papillary thyroid carcinoma.	Chen R	2022	Sleep medicine	exclude	E3	ODI and desaturation	aggressive PTC features	PTC cohort with OSA	Cancer pathological features, not target hard outcome.
PUBMED_MAIN_071	PubMed	main_tiab_beyond_ahi_hard_outcomes	37772691	Nocturnal oxygen saturation is associated with all-cause mortality: a community-based study.	Yan B	2024	Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine	uncertain		nocturnal oxygen saturation	all-cause mortality	community SHHS-like population	Mortality is relevant, but full text needed to confirm whether the analytic population fits the OSA-focused eligibility frame.
PUBMED_MAIN_071	PubMed	main_tiab_beyond_ahi_hard_outcomes	39120771	Long-term mortality risk in obstructive sleep apnea: the critical role of oxygen desaturation index.	Azakli	2024	Sleep & breathing = Schlaf & Atmung	include		ODI	all-cause mortality	clinical OSA cohort	Large retrospective OSA cohort with multivariable ODI mortality signal and likely extractable adjusted HR.
PUBMED_MAIN_072	PubMed	main_tiab_beyond_ahi_hard_outcomes	41478496	Nocturnal Hypoxemia Is Associated With Lower Cardiovascular Events in Patients With Acute Coronary Syndrome and OSA.	Zheng W	2025	Chest	include		nocturnal hypoxemia / TST90-like exposure	cardiovascular events	ACS with and without OSA	Original hard-outcome paper; retain despite inverse direction of association.
PUBMED_MAIN_073	PubMed	main_tiab_beyond_ahi_hard_outcomes	33406013	The Sleep Apnea-Specific Pulse-Rate Response Predicts Cardiovascular Morbidity and Mortality.	Azarbarzin A	2021	American journal of respiratory and critical care medicine	exclude	E2	pulse-rate response	CVD morbidity and mortality	community cohorts	Wrong exposure family for the current review.
PUBMED_MAIN_074	PubMed	main_tiab_beyond_ahi_hard_outcomes	40217656	The Link Between Sleep-Related Breathing Disorders and Idiopathic Pulmonary Fibrosis: Pathophysiological Mechanisms and Treatment Options-A Review.	Patsoura A	2025	Journal of clinical medicine	exclude	E7	none	IPF review	IPF with SBD	Review article outside target population.
PUBMED_MAIN_075	PubMed	main_tiab_beyond_ahi_hard_outcomes	38370439	Obstructive sleep apnea, nocturnal hypoxemia, and retinal microvasculature: The Atherosclerosis Risk in Communities Study.	Hoeft N	2024	Sleep advances : a journal of the Sleep Research Society	exclude	E3	nocturnal hypoxemia	retinal microvasculature	ARIC / SHHS participants	Microvascular surrogate outcome, not hard clinical event.
PUBMED_MAIN_076	PubMed	main_tiab_beyond_ahi_hard_outcomes	24549987	Tracheostomy as treatment for adult obstructive sleep apnea: a systematic review and meta-analysis.	Camacho M	2014	The Laryngoscope	exclude	E7	none	tracheostomy meta-analysis	adult OSA treatment	Systematic review/meta-analysis, not original prognostic study.
PUBMED_MAIN_077	PubMed	main_tiab_beyond_ahi_hard_outcomes	33927018	Nocturnal hypoxaemia in interstitial lung disease: a systematic review.	Khor YH	2021	Thorax	exclude	E7	none	ILD nocturnal hypoxaemia review	ILD	Systematic review outside target population.
PUBMED_MAIN_078	PubMed	main_tiab_beyond_ahi_hard_outcomes	30505488	Obstructive sleep apnea in patients with chronic thromboembolic pulmonary hypertension.	Yu X	2018	Journal of thoracic disease	exclude	E1	none	OSA in CTEPH	CTEPH population	Wrong population focus.
PUBMED_MAIN_079	PubMed	main_tiab_beyond_ahi_hard_outcomes	34794048	The association of obstructive sleep apnea with melanoma incidence and mortality: a meta-analysis of 5,276,451 patients.	Tan NKW	2021	Sleep medicine	exclude	E7	none	melanoma meta-analysis	OSA and melanoma	Meta-analysis, not original study.
PUBMED_MAIN_080	PubMed	main_tiab_beyond_ahi_hard_outcomes	35733034	Predictive tools for nocturnal respiratory failure in patients with moderate and severe OSAS.	Portacci A	2023	Sleep & breathing = Schlaf & Atmung	exclude	E3	TST90	nocturnal respiratory failure prediction	adult OSAS clinical cohort	Prediction of respiratory failure phenotype, not hard cardiovascular or mortality endpoint.
PUBMED_MAIN_081	PubMed	main_tiab_beyond_ahi_hard_outcomes	36127216	WITHDRAWN: Hypoxic Burden in Obstructive Sleep Apnea: Present and Future.	Martinez-Garcia MA	2022	Archivos de bronconeumologia	exclude	E5	HB	none	adult OSA	Withdrawn duplicate of an already indexed HB review article.
PUBMED_MAIN_082	PubMed	main_tiab_beyond_ahi_hard_outcomes	41841645	The impact of sleep on heart health: contemporary research and medical practice.	Drakopanagiotakis F	2026	Current opinion in cardiology	exclude	E7	none	heart health review	sleep disorders general	Review article.
PUBMED_MAIN_083	PubMed	main_tiab_beyond_ahi_hard_outcomes	40008163	The association between endothelial dysfunction and subclinical myocardial injury in male obstructive sleep apnoea patients.	Cao W	2025	ERJ open research	exclude	E3	none	subclinical myocardial injury	male OSA cohort	Subclinical biomarker outcome, not target hard clinical endpoint.
