article_pmid	study_id	cohort_id	sex_subgroup	country	design	cohort_name	population_setting	analytic_n	events_n	n_age_mean	n_male_percent	n_bmi_mean	osa_definition	exposure_metric	exposure_definition	exposure_scale	comparator_type	outcome_primary	outcome_definition	follow_up_years	effect_measure	effect_estimate	ci_lower	ci_upper	p_value	model_used	adjustment_summary	ahi_adjusted	sleep_study_type	pooling_eligibility	source_location	notes	source_round	scale_family	main_pool_flag	sensitivity_flag	duplicate_cohort_flag	duplicate_reason	preferred_model_flag
37947123	Heinzinger_2023_Cleveland_incAF_minSpO2_per10decrease	STARLIT_noBaselineAF	mixed	USA	retrospective clinical cohort	Cleveland Clinic sleep-study cohort	clinical sleep-study patients without baseline AF	42057	1947 incident AF events	50.7	51.3	33.2 median	clinical sleep-study cohort; not restricted to OSA at entry	nadir SpO2	minimum oxygen saturation during the sleep study	per 10-unit decrease	continuous standardized	incident atrial fibrillation	first AF diagnosis within 5 years identified from ICD-9/10-based electronic medical records	5	HR	1.09	1.03	1.15		Table 2 fully adjusted model	age, sex, race, BMI, smoking history, COPD, CAD, heart failure, myocardial infarction, CABG, hypertension, diabetes, hyperlipidemia, antiarrhythmic medications, and PAP therapy	no	clinical sleep study	continuous_standardized_main	Table 2; Figure 2C; Primary Analysis paragraph	In-scope nadir-SpO2 AF row from the same cohort.	round3	continuous_fixed_increment	yes	no	no		yes
40008168	Mazzotti_2025_SHHSfreeCVD_CVmort_HB_log_B3	SHHS_freeCVD_OSAframe	mixed	USA	prospective cohort secondary analysis	SHHS	community-based adults with symptom data and high-quality oxygen signals, free of baseline CVD	3714	223 cardiovascular deaths	63.0	44.2		OSA-framed SHHS cohort; no baseline CVD	HB	respiration-event-related hypoxic burden, natural log transformed as ln(HB+0.1)	per 1-unit increase in log-transformed HB	continuous log-scale	CVD mortality	cardiovascular death over follow-up	11.7 median	HR	1.22	0.95	1.56		Model B3	symptom subtypes plus age, sex, BMI, race, ethnicity, alcohol use, smoking status, COPD, type 2 diabetes, hypertension, HDL, total cholesterol, triglycerides, lipid-lowering medication, total sleep time, and baseline CVD indicator in model specification	no	home-based PSG	continuous_log_main	Table 1, Model B3, cardiovascular mortality	HB effect adjusted for symptom subtypes and clinical covariates, but not for AHI/T90/nadir.	round3	continuous_log	yes	no	yes	same_article_same_cohort_same_outcome_alt_model	yes
40008168	Mazzotti_2025_SHHSfreeCVD_CVmort_HB_log_C3	SHHS_freeCVD_OSAframe	mixed	USA	prospective cohort secondary analysis	SHHS	community-based adults with symptom data and high-quality oxygen signals, free of baseline CVD	3698	223 cardiovascular deaths	63.0	44.2		OSA-framed SHHS cohort; no baseline CVD	HB	respiration-event-related hypoxic burden, natural log transformed as ln(HB+0.1)	per 1-unit increase in log-transformed HB	continuous log-scale	CVD mortality	cardiovascular death over follow-up	11.7 median	HR	1.63	1.13	2.35		Model C3	symptom subtypes plus clinical covariates and additional OSA severity measures including AHI, T90, and oxygen saturation nadir	yes	home-based PSG	ahi_adjusted_sensitivity	Table 1, Model C3, cardiovascular mortality	This is the paper's highlighted incremental-risk result; treat as AHI/other-severity-adjusted sensitivity rather than the default main estimate.	round3	continuous_log	no	yes	yes	same_article_same_cohort_same_outcome_alt_model	no
40008168	Mazzotti_2025_SHHSfreeCVD_MACE_HB_log_B3	SHHS_freeCVD_OSAframe	mixed	USA	prospective cohort secondary analysis	SHHS	community-based adults with symptom data and high-quality oxygen signals, free of baseline CVD	3714	947 MACE events	63.0	44.2		OSA-framed SHHS cohort; no baseline CVD	HB	respiration-event-related hypoxic burden, natural log transformed as ln(HB+0.1)	per 1-unit increase in log-transformed HB	continuous log-scale	MACE	first major adverse cardiovascular event including CHD, heart failure, stroke, or cardiovascular mortality	11.4 median	HR	0.98	0.87	1.11		Model B3	symptom subtypes plus age, sex, BMI, race, ethnicity, alcohol use, smoking status, COPD, type 2 diabetes, hypertension, HDL, total cholesterol, triglycerides, lipid-lowering medication, total sleep time, and baseline CVD indicator in model specification	no	home-based PSG	continuous_log_main	Table 1, Model B3, MACE	Null HB-MACE result in the free-of-baseline-CVD SHHS cohort.	round3	continuous_log	yes	no	yes	same_article_same_cohort_same_outcome_alt_model	yes
40008168	Mazzotti_2025_SHHSfreeCVD_MACE_HB_log_C3	SHHS_freeCVD_OSAframe	mixed	USA	prospective cohort secondary analysis	SHHS	community-based adults with symptom data and high-quality oxygen signals, free of baseline CVD	3698	947 MACE events	63.0	44.2		OSA-framed SHHS cohort; no baseline CVD	HB	respiration-event-related hypoxic burden, natural log transformed as ln(HB+0.1)	per 1-unit increase in log-transformed HB	continuous log-scale	MACE	first major adverse cardiovascular event including CHD, heart failure, stroke, or cardiovascular mortality	11.4 median	HR	1.05	0.89	1.23		Model C3	symptom subtypes plus clinical covariates and additional OSA severity measures including AHI, T90, and oxygen saturation nadir	yes	home-based PSG	ahi_adjusted_sensitivity	Table 1, Model C3, MACE	Incremental model remained null for MACE after adjustment for other OSA severity measures.	round3	continuous_log	no	yes	yes	same_article_same_cohort_same_outcome_alt_model	no
30376054	Azarbarzin_2019_MrOS_CVDmort_log10HB_M4	MrOS	men	USA	prospective cohort	MrOS Sleep Study	community-based older men; not restricted to OSA at entry	2743	440 CVD deaths	76.3	100		not restricted to OSA at cohort entry	HB	total area under respiratory event-related desaturation curve from pre-event baseline divided by sleep duration	per 1-unit increase in log10-transformed HB	continuous log-scale	CVD mortality	underlying cause of death adjudicated as cardiovascular disease	10.0	HR	2.03	1.37	3.00	<0.001	Model 4	age, BMI, race, sleep duration, smoking, alcohol, COPD, renal failure, AHI, MinSat, TST90, hypertension, diabetes, stroke, concurrent CVD, and lipid-lowering medication use	yes	unattended home PSG	continuous_log_main	Supplementary Table S3 Model 4; user-supplied supplement docx	Continuous CVD-mortality row resolves the prior supplement-access gap for MrOS and is directly AHI/MinSat/TST90 adjusted.	round4	continuous_log	yes	no	yes	same_article_same_cohort_same_outcome_alt_scale	yes
30376054	Azarbarzin_2019_SHHS_CVDmort_log10HB_M4	SHHS	mixed	USA	prospective cohort	SHHS	community-based middle-aged and older adults; not restricted to OSA at entry	4672	313 CVD deaths	63.7	47.2		not restricted to OSA at cohort entry	HB	total area under respiratory event-related desaturation curve from pre-event baseline divided by sleep duration	per 1-unit increase in log10-transformed HB	continuous log-scale	CVD mortality	underlying cause of death adjudicated as cardiovascular disease	10.9	HR	1.73	1.08	2.78	<0.05	Model 4	age, BMI, race, sex, sleep duration, study site, smoking, AHI, MinSat, TST90, hypertension, diabetes, stroke, prevalent angina/myocardial infarction/coronary revascularization, and lipid-lowering medication use	yes	unattended PSG	continuous_log_main	Supplementary Table S3 Model 4; user-supplied supplement docx	Continuous CVD-mortality row resolves the prior supplement-access gap for SHHS and is directly AHI/MinSat/TST90 adjusted.	round4	continuous_log	yes	no	yes	same_article_same_cohort_same_outcome_alt_scale	yes
34648724	Trzepizur_2022_PaysLoire_MACE_logHB_M2	PaysLoire_clinicalOSA	mixed	France	prospective clinical cohort	Pays de la Loire cohort	newly diagnosed clinical OSA without overt cardiovascular disease	5358	592 MACE events	60 median	63.7	30 median	clinical OSA cohort without overt baseline cardiovascular disease	HB	total area under respiratory event-related desaturation curve	per 1-unit increase in natural log-transformed HB	continuous log-scale	MACE	composite outcome including all-cause mortality, acute myocardial infarction, stroke, and unplanned coronary revascularization	6.5 median	HR	1.21	1.07	1.38	0.0024	Model 2	age, sex, BMI, smoking status, prevalent diabetes/COPD/hypertension, type of sleep study, study site, beta-blocker/calcium channel blocker use, plus CPAP treatment	no	mixed PSG or HSAT	continuous_log_main	Table 2 Model 2; user-supplied PDF	Primary clinical-cohort HB anchor with CPAP-adjusted MACE model; all-cause mortality was discussed separately in text but was not rowed because the extracted snippet did not restate the model label.	round4	continuous_log	yes	no	no		yes
34648724	Trzepizur_2022_PaysLoire_MACE_logT90_M2	PaysLoire_clinicalOSA	mixed	France	prospective clinical cohort	Pays de la Loire cohort	newly diagnosed clinical OSA without overt cardiovascular disease	5358	592 MACE events	60 median	63.7	30 median	clinical OSA cohort without overt baseline cardiovascular disease	T90	percentage of recording time with SaO2 <90%	per 1-unit increase in natural log-transformed T90	continuous log-scale	MACE	composite outcome including all-cause mortality, acute myocardial infarction, stroke, and unplanned coronary revascularization	6.5 median	HR	1.34	1.16	1.55	<0.0001	Model 2	age, sex, BMI, smoking status, prevalent diabetes/COPD/hypertension, type of sleep study, study site, beta-blocker/calcium channel blocker use, plus CPAP treatment	no	mixed PSG or HSAT	continuous_log_main	Table 2 Model 2; user-supplied PDF	T90 remained significant in the fully adjusted clinical-cohort model and can serve as a main T90 anchor alongside the HB row from the same cohort.	round4	continuous_log	yes	no	no		yes
30590586	Baumert_2020_MrOS_CVDmort_ODI_perSD	MrOS	men	USA	prospective cohort	MrOS Sleep Study	community-based older men; not restricted to OSA at entry	2840	185 CVD deaths		100		not restricted to OSA at cohort entry	ODI	number of acute episodic desaturations per hour	per 1 SD increase	continuous standardized	CVD mortality	cardiovascular mortality / cardiovascular death	8.8 mean	HR	1.16	0.97	1.38	0.097	Multivariable Cox model	race, age, weight status, PASE score, smoking, alcohol consumption, diabetes, hypertension, heart failure, COPD, and AHI	yes	overnight oximetry derived from polysomnography	continuous_standardized_main	Table 2 multivariable analysis; PMC full text	Adjusted ODI was not independently associated with CVD mortality in this MrOS analysis; retain as useful negative comparator evidence within the ODI family.	round5	continuous_standardized	yes	no	no		yes
30590586	Baumert_2020_MrOS_CVDmort_T90_perSD	MrOS	men	USA	prospective cohort	MrOS Sleep Study	community-based older men; not restricted to OSA at entry	2840	185 CVD deaths		100		not restricted to OSA at cohort entry	T90	time spent below 90% oxygen saturation	per 1 SD increase	continuous standardized	CVD mortality	cardiovascular mortality / cardiovascular death	8.8 mean	HR	1.16	1.05	1.28	0.004	Multivariable Cox model	race, age, weight status, PASE score, smoking, alcohol consumption, diabetes, hypertension, heart failure, COPD, and AHI	yes	overnight oximetry derived from polysomnography	continuous_standardized_main	Table 2 multivariable analysis; PMC full text	Directly fills the previously unextracted T90 and cardiovascular mortality gap with an AHI-adjusted MrOS row.	round5	continuous_standardized	yes	no	yes	same_article_same_cohort_same_outcome_alt_scale	yes
30590586	Baumert_2020_MrOS_CVDmort_T90_Q4gt12min	MrOS	men	USA	prospective cohort	MrOS Sleep Study	community-based older men; not restricted to OSA at entry	2840	185 CVD deaths		100		not restricted to OSA at cohort entry	T90	time spent below 90% oxygen saturation	highest quartile (>12 min) vs lower quartiles	categorical high vs low	CVD mortality	cardiovascular mortality / cardiovascular death	8.8 mean	HR	1.59	1.14	2.22	0.006	Multivariable Cox model	race, age, weight status, PASE score, smoking, alcohol consumption, diabetes, hypertension, heart failure, COPD, and AHI	yes	overnight oximetry derived from polysomnography	categorical_high_vs_low_main	Table 2 multivariable analysis; PMC full text	Categorical T90 row uses the paper's highest-quartile threshold rather than a universal clinical cutoff, so it should be pooled only with clearly comparable categorical T90 studies.	round5	categorical_high_vs_low	yes	no	yes	same_article_same_cohort_same_outcome_alt_scale	yes
39120771	Azakli_2024_clinicalOSA_allcause_ODI_per1unit	Azakli_clinicalOSA	mixed	Turkey	retrospective clinical cohort	single-centre referral sleep-clinic cohort	adults with OSA diagnosed in a referral sleep-disorders centre	3541	231 all-cause deaths	49.7	72		clinical OSA cohort	ODI	oxygen desaturation index (events per hour)	per 1-unit increase	continuous raw unit	all-cause mortality	death from any cause during long-term follow-up	5+	HR	1.007	1.001	1.013	0.01	Multivariate Cox model 2	OSA subtype, COPD, PLMS, age, sex, waist-to-hip ratio, Epworth Sleepiness Scale, CoSA score >=1, monocyte/HDL ratio, systemic immune-inflammation index; AHI omitted because of collinearity with ODI	no	polysomnography	continuous_raw_unit_main	Table 5 model 2, ODI row, external PDF copy	This is currently a single clinical-cohort ODI all-cause mortality row with exact multivariable effect size, but it does not include AHI in the same model because the authors separated AHI and ODI models.	round6	continuous_raw_unit	yes	no	no		yes
33433302	Blanchard_2021_multicenterOSA_incAF_T90_per1pct	Blanchard_multicenterOSA	mixed	France	retrospective multicenter clinical cohort	patients investigated for OSA in a multicenter referral network	AF-free patients investigated for clinical suspicion of OSA	7205	181 incident AF events	60 median	62.3	29 median	patients investigated for OSA	T90	percentage of recording time with oxygen saturation <90%	per 1% increase	continuous raw unit	incident atrial fibrillation	new-onset atrial fibrillation identified from linked administrative data	5.34 median	HR	1.01	1.00	1.02	0.0104	Adjusted Cox model	age, sex, body mass index, alcohol intake, diabetes, hypertension, history of cardiac disease, chronic obstructive pulmonary disease, beta blocker/calcium channel blocker medications, type of sleep study, study site, and positive airway pressure adherence	no	mixed PSG and other diagnostic sleep studies	continuous_raw_unit_main	Table 2 adjusted model, T90 continuous row, OUP web text	T90 was the only nocturnal hypoxemia index that remained independently associated with incident AF after multivariable adjustment.	round6	continuous_raw_unit	yes	no	yes	same_article_same_cohort_same_outcome_alt_scale	yes
