Study,Cohort,Cohort class,Country,Metric family,Outcome family,Exposure scale,Analytic N,Follow-up (years),Effect measure,Effect estimate,Lower CI,Upper CI,AHI adjusted,Analysis layer,Pooling status,Adjustment summary,Source location
Trzepizur 2022 [16],Pays de la Loire cohort,Clinical OSA/referral,France,HB,MACE,per 1-unit increase in natural log-transformed HB,5358,median 6.5,HR,1.210,1.070,1.380,no,Main pool,continuous log main,"age, sex, BMI, smoking status, prevalent diabetes/COPD/hypertension, type of sleep study, study site, beta-blocker/calc…",Table 2 Model 2; user-supplied PDF
Trzepizur 2022 [16],Pays de la Loire cohort,Clinical OSA/referral,France,T90,MACE,per 1-unit increase in natural log-transformed T90,5358,median 6.5,HR,1.340,1.160,1.550,no,Main pool,continuous log main,"age, sex, BMI, smoking status, prevalent diabetes/COPD/hypertension, type of sleep study, study site, beta-blocker/calc…",Table 2 Model 2; user-supplied PDF
Baumert 2020 [11],MrOS Sleep Study,Community physiology,USA,ODI,CVD mortality,per 1 SD increase,2840,mean 8.8,HR,1.160,0.970,1.380,yes,Main pool,continuous standardized main,"race, age, weight status, PASE score, smoking, alcohol consumption, diabetes, hypertension, heart failure, COPD, and AHI",Table 2 multivariable analysis; PMC full text
Baumert 2020 [11],MrOS Sleep Study,Community physiology,USA,T90,CVD mortality,per 1 SD increase,2840,mean 8.8,HR,1.160,1.050,1.280,yes,Main pool,continuous standardized main,"race, age, weight status, PASE score, smoking, alcohol consumption, diabetes, hypertension, heart failure, COPD, and AHI",Table 2 multivariable analysis; PMC full text
Baumert 2020 [11],MrOS Sleep Study,Community physiology,USA,T90,CVD mortality,highest quartile (>12 min) vs lower quartiles,2840,mean 8.8,HR,1.590,1.140,2.220,yes,Main pool,categorical high vs low main,"race, age, weight status, PASE score, smoking, alcohol consumption, diabetes, hypertension, heart failure, COPD, and AHI",Table 2 multivariable analysis; PMC full text
Azakli 2024 [15],single-centre referral sleep-clinic cohort,Clinical OSA/referral,Turkey,ODI,all-cause mortality,per 1-unit increase,3541,>=5,HR,1.007,1.001,1.013,no,Main pool,continuous raw unit main,"OSA subtype, COPD, PLMS, age, sex, waist-to-hip ratio, Epworth Sleepiness Scale, CoSA score >=1, monocyte/HDL ratio, sy…","Table 5 model 2, ODI row, external PDF copy"
Blanchard 2021 [12],patients investigated for OSA in a multicenter referral network,Clinical OSA/referral,France,T90,incident atrial fibrillation,per 1% increase,7205,median 5.34,HR,1.010,1.000,1.020,no,Main pool,continuous raw unit main,"age, sex, body mass index, alcohol intake, diabetes, hypertension, history of cardiac disease, chronic obstructive pulm…","Table 2 adjusted model, T90 continuous row, OUP web text"
Blanchard 2021 [12],patients investigated for OSA in a multicenter referral network,Clinical OSA/referral,France,T90,incident atrial fibrillation,highest quartile (>=6.8%) vs lowest quartile (<0.1%),7205,median 5.34,HR,2.200,1.230,3.910,no,Main pool,categorical high vs low main,"age, sex, body mass index, alcohol intake, diabetes, hypertension, history of cardiac disease, chronic obstructive pulm…","Table 2 adjusted model, T90 category row, OUP web text"
Mooe 2001 [19],coronary angiography CAD cohort,Specialized cardiovascular/surgical,Sweden,ODI,cerebrovascular events,ODI >=5 vs <5,408,median 5.1,HR,2.620,1.260,5.460,no,Main pool,sensitivity specialized cad,"age, sex, body mass index, hypertension, diabetes, left ventricular dysfunction, and coronary intervention",Table 3 / abstract in sleep-disordered-breathing-and-coronary-artery-di…
Johansson 2011 [20],CoroKind elderly community subgroup,Community physiology,Sweden,ODI,all-cause mortality,ODI >=10 vs <10,NR,mean 4.5,HR,3.000,1.100,8.600,no,Main pool,sensitivity specialized elderly cvd,"age, gender, diabetes, and plasma NT-proBNP",Abstract / Results in 1-s2.0-S1389945711001523-main.pdf
Ohmura 2014 [21],predischarge ADHF LV systolic dysfunction cohort,Specialized cardiovascular/surgical,Japan,ODI,composite readmission or mortality,SDB vs non-SDB,100,mean 1.2,HR,2.930,1.360,6.310,no,Main pool,sensitivity specialized adhf,"women, systolic blood pressure per standard deviation, hemoglobin per standard deviation, B-type natriuretic peptide pe…",Table 2 / abstract in PIIS0002914913022662.pdf
Oldenburg 2016 [22],stable HF-REF cohort,Specialized cardiovascular/surgical,Germany,T90,all-cause mortality,per hour increase,963,median 7.35,HR,1.161,1.086,1.242,no,Main pool,sensitivity specialized hfref mixedsdb,"age, sex, body mass index, NYHA class, left ventricular ejection fraction, cardiac resynchronization therapy, ischaemic…",Table 3 / abstract in ehv624.pdf
Chung 2022 [26],POSA surgical cohort,Specialized cardiovascular/surgical,Multinational,ODI,30-day postoperative cardiovascular events,ODI >=30 vs <30,1218,0.08 (~30 d),HR,1.630,1.050,2.530,no,Main pool,sensitivity specialized perioperative,post hoc POSA multivariable model; full retained covariate list was not recoverable from the PDF text layer,Abstract in 1-s2.0-S0952818022000095-main.pdf
Suzuki 2022 [25],AF catheter ablation cohort,Specialized cardiovascular/surgical,Japan,T90,atrial tachyarrhythmia recurrence,>20% vs <=20%,290,median 1.31,HR,8.530,1.872,38.814,no,Main pool,sensitivity specialized postablation af,severe nocturnal hypoxaemia and left atrial volume index retained in the non-CPAP multivariable model,Abstract / Results in s00380-021-01969-x.pdf
Xu 2025 [31],OSA-ACS RCIR subgroup,Specialized cardiovascular/surgical,China,ODI,MACCE,log-unit increase,NR,median 2.9,HR,1.813,1.039,3.163,no,Main pool,sensitivity specialized acs subgroup,comprehensively adjusted subgroup model; exact retained covariates were not fully recoverable from the PDF text layer,Abstract / Results in s11325-025-03281-8.pdf
Xu 2025 [31],OSA-ACS RCIR subgroup,Specialized cardiovascular/surgical,China,nadir SpO2,MACCE,log-unit increase,NR,median 2.9,HR,0.033,0.001,0.769,no,Main pool,sensitivity specialized acs subgroup,comprehensively adjusted subgroup model; exact retained covariates were not fully recoverable from the PDF text layer,Abstract / Results in s11325-025-03281-8.pdf
Kendzerska 2018 [14],suspected OSA diagnostic-sleep-study cohort,Clinical OSA/referral,Canada,T90,incident hospitalized atrial fibrillation,>30% vs <=30%,8256,median 10,HR,1.770,1.150,2.740,no,Main pool,categorical high vs low main,"age, sex, alcohol consumption, smoking status, previous heart failure, COPD, pulmonary embolism, body mass index, and h…",Abstract / Results in j.chest.2018.08.1075.pdf
Rivera-Lopez 2018 [23],decompensated heart failure pulse-oximetry cohort,Specialized cardiovascular/surgical,Spain,nocturnal hypoxemia,composite mortality or HF readmission,positive vs negative,38,mean 2.5,HR,8.370,1.190,68.400,no,Main pool,sensitivity specialized hf nocthypox,multivariable model reported in full text; exact retained covariates were not recoverable from the PDF text layer,Abstract / Results in j.medcli.2017.11.024.pdf
Mooe 1996 [18],coronary artery bypass surgery cohort,Specialized cardiovascular/surgical,Sweden,ODI,post-CABG atrial fibrillation,ODI >=5 vs <5,121,in-hospital,RR,2.800,1.200,6.800,no,Sensitivity/comparator,sensitivity specialized postcabg af,"age, left ventricular function, aortic cross-clamp time, maximum postoperative lactate dehydrogenase, and ODI-defined d…",PubMed abstract for PMID 8889364
Onuki 2023 [27],CIRCS cohort,Community physiology,Japan,ODI,incident CVD,ODI >=5 vs <5,5313,median 12.8,HR,1.490,1.090,2.030,no,Sensitivity/comparator,sensitivity general population osa surrogate,"age, sex, body mass index, alcohol, and smoking",PubMed abstract for PMID 36642535
Peker 2025 [32],RICCADSA observational cohort,Specialized cardiovascular/surgical,Sweden,HB,MACCE,high vs low HB by median split,368,median 4.7,HR,1.870,1.170,2.980,no,Sensitivity/comparator,sensitivity specialized secondary prevention,multivariable model in the observational RICCADSA cohort; detailed covariate list not fully recovered from the abstract…,PubMed abstract for PMID 40818776
Xu 2023 [33],Hong Kong sleep clinic cohort,Specialized cardiovascular/surgical,China,T90,MACE,spline contrast 36.4 vs 0.7 min,1860,median 8.3,HR,1.410,1.100,1.810,yes,Main pool,continuous spline contrast main,"multivariable model adjusting for demographic factors, cardiometabolic risk factors, medication use, and AHI entered jo…",Table 2 multivariable model; TST90 36.4 vs 0.7 min contrast in thoraxjn…
Labarca 2021 [34],SantOSA,Specialized cardiovascular/surgical,Chile,T90,CVD mortality,per 1% increase,1447,mean 5,HR,1.020,1.010,1.040,no,Main pool,continuous raw unit main,multivariable Cox model within the SantOSA OSA-diabetes cohort; detailed covariate list was not fully transcribed into…,Results text in s11325-020-02283-y.pdf; T90% independently associated w…
Redline 2010 [38],SHHS,Community physiology,USA,T90,incident ischemic stroke,third tertile (1.96%-100%) vs 0-value reference,2462,median 8.7,HR,1.460,0.710,2.980,no,Main pool,categorical high vs low main,fully adjusted male-specific model including demographic and vascular stroke-risk covariates,"Table 3, fully adjusted male model, time <90% O2 saturation III tertile…"
Wang 2025 [35],SHHS OSA without baseline AF cohort,Specialized cardiovascular/surgical,USA,HB,incident atrial fibrillation,fourth quartile vs first quartile,1660,mean 5.3,OR,1.700,1.040,2.810,no,Sensitivity/comparator,sensitivity overlap shhs or,multivariable model adjusting for major demographic and cardiovascular covariates,Results in 1-s2.0-S1389945725001339-main.pdf; HB Q4 vs Q1 incident AF
Bailly 2026 [36],French major noncardiothoracic surgery cohort,Specialized cardiovascular/surgical,France,SASHB,30-day postoperative cardiovascular events,>=80 vs <32 %min/h,2286,0.08 (~30 d),OR,2.790,1.420,5.490,no,Sensitivity/comparator,sensitivity specialized perioperative,"multivariable perioperative model including age, emergency admission, and surgical-risk covariates",Abstract and Results in bailly_2026_oi_260001_1772557663.82791.pdf
Xie 2016 [37],recent myocardial infarction cohort,Specialized cardiovascular/surgical,USA,nadir SpO2,MACE,<=85% vs >85%,98,4 total,HR,6.050,1.790,20.460,no,Sensitivity/comparator,sensitivity specialized postmi,"age, left ventricular ejection fraction, diabetes mellitus, oxygen desaturation index, and arousal index","Table 3, minSaO2 model 1, >=15 months, PMC5015271"
Xie 2016 [37],recent myocardial infarction cohort,Specialized cardiovascular/surgical,USA,T90,MACE,>=1.3% vs <1.3%,98,4 total,HR,1.250,0.500,3.160,no,Sensitivity/comparator,sensitivity specialized postmi,"age, left ventricular ejection fraction, diabetes mellitus, oxygen desaturation index, and arousal index","Table 3, T90SaO2 model, PMC5015271"
Henríquez-Beltrán 2024 [39],SHHS,Community physiology,USA,T90,all-cause mortality,per 1 SD increase,4323,median 11.7,HR,1.180,1.100,1.260,yes,Main pool,single publication dualcohort main,"age, sex, body mass index, hypertension, diabetes, chronic obstructive pulmonary disease, cardiovascular disease, tobac…",Abstract and Table 2 in s11325-023-02909-x.pdf
Henríquez-Beltrán 2024 [39],SantOSA,Specialized cardiovascular/surgical,Chile,T90,all-cause mortality,per 1 SD increase,1345,median 5.0,HR,1.340,1.040,1.710,yes,Main pool,single publication dualcohort main,"age, sex, body mass index, hypertension, diabetes, chronic obstructive pulmonary disease, cardiovascular disease, tobac…",Abstract and Table 2 in s11325-023-02909-x.pdf
